Category,Hiragana,Kanji,Meaning,Pronunciation,Tic
Family,きょうだい,兄弟,"brothers, siblings",kyōdai,
Family,しまい,姉妹,sisters,shimai,
Family,そふ,祖父,grandfather,sofu (ojii-san),
Family,そぼ,祖母,grandmother,sobo (obaa-san),
Family,まご,孫,grandchild,mago,
Family,おじ,伯父、叔父,uncle,oji (oji-san),
Family,おば,伯母、叔母,aunt,oba (oba-san),
Family,いとこ,従兄弟、従姉妹、従兄、従弟、従姉、従妹,cousin,itoko,
Family,めい,姪,niece,mei,
Family,おい,甥,nephew,oi,
Life,いきもの,生き物,living creatures,ikimono,
Life,ばけもの,化け物,monster,bakemono,
Animals,どうぶつ,動物,animal,dōbutsu,
Animals,チーター,-,cheetah,chītā,
Animals,いぬ,犬,dog,inu,
Animals,ねこ,猫,cat,neko,
Animals,うし,牛,cow,ushi,
Animals,ぶた,豚,pig,buta,
Animals,うま,馬,horse,uma,
Animals,ひつじ,羊,sheep,hitsuji,
Animals,さる,猿,monkey,saru,
Animals,ねずみ,鼠,"mouse, rat",nezumi,
Animals,とら,虎,tiger,tora,
Animals,オオカミ,狼,wolf,ōkami,
Animals,うさぎ,兎,rabbit,usagi,
Animals,りゅう、たつ,竜,dragon,"ryū, tatsu",
Animals,しか,鹿,deer,shika,
Animals,かえる,蛙,frog,kaeru,
Animals,がま,蟇,toad,gama,
Animals,しし,獅子,lion,shishi,
Animals,キリン,麒麟,giraffe,kirin,
Animals,ぞう,象,elephant,zō,
Animals,とり,鳥,bird,tori,
Animals,にわとり,鶏,chicken,niwatori,
Animals,すずめ,雀,sparrow,suzume,
Animals,からす,烏,"crow, raven",karasu,
Animals,わし,鷲,eagle,washi,
Animals,たか,鷹,"hawk, falcon",taka,
Animals,さかな,魚,fish,sakana,
Animals,たい,鯛,red snapper,tai,
Animals,えび,海老,"shrimp, lobster",ebi,
Animals,いわし,鰯,sardine,iwashi,
Animals,まぐろ,鮪,tuna,maguro,
Animals,かつお,鰹,bonito,katsuo,
Animals,さんま,秋刀魚,pike,sanma,
Animals,あじ,鰺,horse mackerel,aji,
Animals,さば,鯖,mackerel,saba,
Animals,イカ,烏賊,squid,ika,
Animals,タコ,蛸、章魚,octopus,tako,
Animals,むし,虫,insect,mushi,
Animals,ちょう,蝶,butterfly,chō,
Animals,ガ,蛾,moth,ga,
Animals,せみ,蝉,cicada,semi,
Animals,トンボ,蜻蛉,dragonfly,tonbo,
Animals,バッタ,飛蝗,grasshopper,batta,
